löpnummer,län,kommun,socken,föreningensnamn,föreningensinstiftelseår,objekt,formavägande,intressenter,fastighetsbeteckning,adress,arkitekt,byggmästare,nybyggnadsår,miljö,renoveringombyggnad,byggnaderfunktioner,verksamhetidag,tidigarefunktion,litteratur,arkivhandlingar,källa,anmärkning
1298,AB,Österåker,,Föreningen Föreningshuset i Österåker,1909,Åkersberga Folkets Hus,,,,,,,1912,,,,,,,"ARAB: Folkets Hus och Parker, Stockholm vol. 2 [samling] fragment","SF, ARAB",
1299,AB,Österåker,,Föreningen Föreningshuset,1909,Åkersberga Folkets Hus,,,,,,,1923,,,,,,Åkersberga föreningshus invigt,"NM inventering 1958 vykort ARAB: Folkets Hus och Parker, Stockholm vol. 2 [samling] ARAB: Folkets husföreningar vol. 3 [samling]","SF, NM, ARAB",
1300,M,Kristianstad,Åhus,Åhus Folkets hus & parkförening,1906,Åhus Folkets Hus,,,,,,,1906,,,,,,"Elowsson, Nils: Åhus Folkets Hus- och parkförening 50 år : minnesskrift, 1956 Rickard Knutsson: Nöjesplatsen Åhusparken : verksamhet och artister i Åhus Folkets Hus och Park under 80 år.",I lokalen,"SF, FHP-enkät",
1301,H,Mönsterås,Ålem,Föreningen Folkets Hus Ålem,1905,Ålems Folkets Hus,,,,,,,1907,,,,,,,"ARAB [samling]: Folkets Hus och Parker, övriga landet vol. 10, fragment",SF,
1302,Y,Ånge,,Ånge Folkets parkförening,1927,Ånge Folkets Park,,,,,,,1928,,,,,,,,SF,
1303,S,Årjäng,Silbodal,Föreningen Folkets Hus Årjäng,1929,Årjängs Folkets Park,,,,,,,1929,,,,,,,Årjängs kommuns centralarkiv och Folkrörelsernas arkiv för Värmland 1929-1963,"SF, NAD",
1304,X,Sandviken,,Åshammars Folkets husförening,1910,Åshammars Folkets Park,,,,,,,1910,,,,,,,,SF,
1305,M,Åstorp,,Åstorps arbetares byggnadsförening,1898,Åstorps Folkets Hus,,,,,,,FH 1905 FP 1941,,,,,,,,"SF, FPC",Parken heter Skogslund
1306,E,Åtvidaberg,,Föreningen Åtvidabergs Folkets Hus upa,1906,Åtvidabergs Folkets Park,,,,,,,1908,,,,,,Minnesskrift till föreningen Åtvidabergs Folkparks tjugofemårsjubileum 1906 16/7 1931. Föreningen Åtvidabergs Folkpark Festskrift 1906-1946,"ARAB: Folkets husföreningar vol. 3  [samling] ARAB [samling]: Folkets Hus och Parker, övriga landet vol. 10 fragment I lokalen FH Åtvidaberg samt i kommunens arkiv","SF, FPC, ARAB, FHP-enkät",
1307,W,Älvdalen,,Älvdalens Folkets husförening,1925,Älvdalens Folkets Park,,,,,,,1925,,,,,,,,SF,Jfr Älvdalsparken
1308,G,Älmhult,Älmhult,Byggnadsföreningen Älmhults Folkets Hus upa,1925,Älmhults Folkets Hus och Park,,,,,,,1929,,,,,,,Kronobergsarkivet; Älmhults Folkets husförening: Fragment 1946-1958 Se Stockholms företagsminnen: Konsumtionsföreningen Älmhult med omnejd ARAB: [samling]: organisationsklipp vol. 27,"SF, NAD, FA, Kronobergaren 21 juli 1960 och 27 juli 1961",
1309,C,Älvkarleby,,Älvkarleö Folkets husförening,1922,Älvkarleö Bruks Folkets Hus,,,,,,,1928,,,,,,,ARAB: [samling]: organisationsklipp vol. 27,"SF, Arbetarbladet 9 nov 1928","Brann ned 1930, och ett nytt hus uppfördes."
1310,O,Göteborg,,"Föreningen Folkets Hus i Västra Frölunda, Hagen",1936,Älvsborgs Folkets Hus,,,,,,,,,,,,,,,SF,
1311,D,Katrineholm,,Föreningen Folkets Hus Ändebol,1920,Ändebols Folkets Hus,,,,,,,1922,,,,,,"ARAB [samling]: Folkets Hus och Parker, övriga landet vol. 10 fragment","i Katrineholms arbetararkiv: protokoll 1920-83, spridda år, verksamhetsberättelser 1921-1989, spridda år, övriga handlingar. ARAB: Folkets husföreningar vol. 3 [samling]","FHP-enkät, SF, ARAB",
1312,H,Mörbylånga,S:a Möckleby,Folkets husföreningen i S:a Möckleby,,Festplatsen Albrunnalund,,,,,,,1936,,,,,,"Dokumentation, kopior av klipp m m",,Inkommen dokumentation,"Nedlagt 1963. Dokumentation sammanställd och insänd av Lars Henell, 1088 Albrunna, 380 65 Degerhamn"
1313,S,Arvika,Bogen,,,Tvällens festplats,,,,,,,,,,,,,,,,
1314,S,Säffle,By,,,Säffle medborgarhus,,,,,,,,,,,,,,,,
1315,S,Torsby,Dalby,,,Ekebo Folkets Hus,,,,,,,,,,,,,,,,
1316,S,Torsby,Dalby,,,Transtrandsparken,,,,,,,,,,,,,,,,
1317,S,Torsby,Fryksände,,,Rinns Folkets Hus,,,,,,,,,,,,,,,,
1318,S,Säffle,Gillberga,,,Kolsäters Folkets Hus,,,,,,,,,,,,,,,,
1319,S,Arvika,Glava,,,Hillringsbergs Folkets Park,,,,,,,,,,,,,,,,
1320,S,Sunne,Gräsmark,,,Brandsbols Folkets Hus,,,,,,,,,,,,,,,,
1321,S,Hagfors,Gustav Adolf,,,Gumhöjdens Folkets Hus,,,,,,,1935-36,,,,,,,,NM,
1322,S,Torsby,Lekvattnet,,,Lekvattnets Folkets Hus,,,,,,,,,,,,,,,,
1323,S,Säffle,Långserud,,,Lönnskogs Folkets Hus,ekonomisk förening,,,,,,,,,,,,,Föreningsarkivet för Värmland 1 vol. 1948-1985,NAD,
1324,S,Karlstad,Nor,,,Älvenäs Folkets Park,,,,,,,,,,,,,,,,
1325,S,Filipstad,Nordmark,,,Nordmarks Folkets Park,,,,,,,,,,,,,,,,
1326,S,Torsby,Norra Finnskoga,,,Kärrbackstrands Folkets Hus,,,,,,,,,,,,,,,,
1327,S,Hagfors,Norra Råda,,,Uddhedens Folkets Hus,,,,,,,,,,,,,,,,
1328,S,Kil,Stora Kil,,,Kils Folkets Hus,,,,,,,,,,,,,,,,
1329,S,Kil,Stora Kil,Föreningen Folkets Park (Kil),,Kils Folkets Park,ekonomisk förening,,,,,,,,,,,,,Folkrörelsernas arkiv för Värmland 1 vol. 1948-1951,NAD,
1330,S,Torsby,Södra Finnskoga,,,Kindsjöns Folkets Hus,,,,,,,,,,,,,,,,
1331,S,Torsby,Södra Finnskoga,,,Älgsjövallen,,,,,,,,,,,,,,,,
1332,E,Ydre,Asby,Asby arbetarekommun,1914,Asby Folkets hus,,,Asby Norrgård 2:1,"Dalstugan, Asby, 570 60 Österbymo",,,1947,,,,,militärbarack,,,"FHP, ÖLM",Privatägt
1333,Z,Härjedalen,Hede,Hede Folkets husförening,,Hede Folkets Hus,,,Kyrkbyn 10:32,,Gunnar Gräslund,,1955,,,,,,,"Privat förvaring, kontakta Föreningsarkivet i Jämtlands län 1938-1986","LS, NAD",
1334,Z,Härjedalen,Hede,Hede Folkets husförening,,Hede Folkets Hus,,,,,,,,,,,,,,"Privat förvaring, kontakta Föreningsarkivet i Jämtlands län 1938-1986",NAD,Brann ner 1953.
1335,T,Karlskoga,,Föreningen Folkets Hus upa Karlskoga,1900,Karlskoga Folkets Park,ekonomisk förening,,,,,,1918,,,,,,"Ericson, Elof: Minnesskrift : Folkets Park Karlskoga 1918-1943 Festskrift : anteckningar om Föreningen Folkets Hus och Park i Karlskoga samt dess verksamhet åren 1900-1953 : utgiven till invigningen av Karlskoga Folkets Hus och stadsteater den 12 december",Folkrörelsernas arkiv i Karlskoga 39 vol. 1900-1970,"FPC, NAD",brann ned 2001
1336,BD,Gällivare,Malmberget,Malmbergets Folkets husförening,1896,Malmbergets Folkets Hus “Nordan”,,"Gruv avd 4, SAP, VPK",,,,,1953 (1956),,,"Möten, teater, bio Kontrast",,,,"FA Norrbotten, Luleå 1895-1966 A-B, D-H, J-L","FA, LS",Revs 1973. Jfr 403
1337,BD,Gällivare,Malmberget,Malmbergets Folkets husförening,1896,Nya Folkets Hus i Malmberget,,,,,,,1973,,,,,,,,"FHP, LS",
1338,BD,Gällivare,,Arbetareföreningen Folkets Hus upa,1900,Folkets Hus Nautanen,ekonomisk förening,,,,,,1907,,,,,,,"Folkrörelsernas arkiv i Norrbotten, Luleå  1 vol. 1904-1911","FA, LS, NAD",Hinke Bergegren invigde huset 13 jan 1907. Föreningen nedlades 1911 och byggnaden såldes till Tuolluvaara
1339,BD,Gällivare,,Håmojokks Folkets husförening,1930-talet,Folkets Hus Håmojokk,,Sv Järnvägsmannaförbundets avd,,,,,,,,,,,,,LS,FH-föreningen bildades på 1930-talet av Järnvägsmannaförbundets avd. Under andra världskriget övertg idrottsföreningen Forellen lokalerna. Föreningen upphörde i början på 1960-talet. Lokalen ägs nu av Malmbergets  jakt- och fiskevårdsförening.
1340,BD,Gällivare,,,,Folkets Hus Nuortikon,,,,,,,,,,,,,,,LS,Föreningen upphörde på 50-talet
1341,BD,Gällivare,,,,Folkets Hus Polcirkeln,,,,,,,,,,,,1976 militärförråd,,,LS,1930-tal
1342,BD,Kiruna,,,,Vassijaure Folkets Hus,,,,,,,1959,,,,,,,,LS,
1343,BD,Kiruna,,Björklidens Folkets husförening,1937,Björklidens Folkets Hus,ekonomisk förening,,,,,,,,,,,Ordenshus IOGT-logen Nuoljagnistan,,Folkrörelsernas arkiv i Norrbotten 1937-1950,"LS, NAD, ARAB: [samling] organisationsklipp","1955 köptes fastigheten av FH-föreningen Ett tidigare Folkets Hus fanns i början av 1900-talet, en barack som goodtemplarna lät uppföra 1906 men sålde till Folkets husföreningen för 750 kr. Den renoverades 1957. Se Norrländksa Social-Demokraten 6/3 1957"
1344,BD,Kiruna,,Svappavaara Folkets husförening,1945,Svappavaara Folkets Hus,,,,,,,1948,,,,,,,Folkrörelsernas arkiv i Norrbotten 3 vol. 1942-1971,"LS, NAD, FA",
1345,BD,Kiruna,,,,Lainio Folkets Hus,,,,,,,1953,,,,,,,,LS,
1346,BD,Luleå,,,,Luleå Folkets Park,,,,Kvarteret Hasseln,,,,,,,,,,Folkrörelsearkviet i Norrbotten,LS,
1347,BD,Luleå,,Föreningen Karlsviks Folkets Hus,1908,Karlsviks Folkets Hus “Gråbaracken”,,Metallindustriarbetareförbundets avd 173 ?,,Arbetarvägen,,,1909?,,,,,,,"ARAB: [samling]:Folkets Hus och Parker; övriga landet vol. 6, fragment","LS, ARAB",Kata Dalström på besök 1910. FH 1909-24. 1925 byggdes nytt
1348,BD,Luleå,,Gammelstads Folkets Hus Byggnadsförening u p a,,Gammelstadens Folkets Hus,ekonomisk förening,,,,,,,,,,,Sjukstuga,,Folkrörelsernas arkiv i Norrbotten 1933-1937,"LS, NAD",Fanns sannolikt bara fyra år. Nedlades omkring 1937
1349,BD,Luleå,,,,Jämtöns Folkets Hus,,,,,,,1923,,,,,,,,,Rivet.
1350,BD,Luleå,,Niemisels Folkets husförening,1934,Niemisels Folkets Hus,,soc dem arbetarekommun och ungdomsklubb,,,,,,,,"1935-36 dans, biograf, kök, servering, toaletter, klädloge",,Nöjespalatset “Trumman” som hyrts av kommunisterna.,,"FA Norrbotten, Luleå 1934-1949 A Protokoll","FA, LS",1970 sålt till Niemisel Plastfabrik.
1351,BD,Luleå,,Bjurådalens bygdegårdsförening,1955,Bjurå Folkets Hus,,,,,,,1947,,,"dans, bio",,,,ARAB: FHP-samling övriga orter vol 4: fragment: stadgar 1944 ARAB: [samling]: organisationsklipp vol. 11,"LS, ARAB: Norrländska SD 6 aug 1947",Nedlades omkring 1970
1352,BD,Boden,,,1904,Björknäsparken,ekonomisk förening,,,,,,1920,,,,,,,,FPC,Numera skola på marken.
1353,BD,Boden,,Byggnadsföreningen Folkets Hus u p a Näsberg,1900,Näsbergs Folkets Hus,,NOV-logen 551 Flamman,,,,,1910,,,,,,,"privat förvaring, kontakta folkrörelsearkivet i Norrbotten ARAB: Folkets husföreningar vol 2 [samling] klipp ARAB [samling]: Folkets Hus och Parker; övriga landet, vol. 8 , fragment","LS, NAD, ARAB",FH-föreningen nedlades 1933
1354,BD,Boden,,Lakaträsk Folkets husförening,1915,Lakaträsk Folkets Hus,,,,,,,1915,,,,,,,,,Sålt på 1930-talet.
1355,BD,Kalix,,Föreningen Folkets Hus upa (Karlsborg),1907,Karlsborgs Folkets Hus,ekonomisk förening,,,,,,1915,,1932,,,,,"Privat förvaring, kontakta Folkrörelsernas arkiv i Norrbotten 1907-1970","LS, NAD",Virke köptes från Seskarö FH-förening 1908.
1356,BD,Piteå,,Bredsels Folkets husförening,1930-talet,Bredsels Folkets Hus,,,,,,,,,,,,barack,"Nybyggarna runt Storforsen, Älvsbyn 1987",ARAB: FHP-samling övriga orter vol 4: fragment: stadgar 1939 ARAB: [samling] organisationsklipp vol. 6,"LS, ARAB, Piterå-Tidningen 26 nov 1958",inköpt 1938 från Inlandsbanan. Mest kommunister i föreningen. Likviderade på 40-talet.
1357,BD,Jokkmokk,,Jokkmokks Folkets Hus Fjellet,1953,Jokkmokks Folkets Hus,ekonomisk förening,,,,,,1955,,1974,,,,Glesbygden och kulturen. Luleå 1971.,,LS,
1358,BD,Jokkmokk,,Murjeks Folkets husförening,1967,Murjeks Folkets Hus,,,,,,,,,,,,skola,,,LS,"En tidigare förening Byggnadsföreningen Folkets Hus u p a, Murjek bildades 1942 men lade ner verksamheten  på 1950-talet. Räkenskapshandlingar finns på FA Norrbotten i Luleå 1942-1951."
1359,BD,Överkalix,,Vännäsbergets Folkets husförening,1939,Vännäsbergets Folkets Hus,,socialdemokratisk arbetarekommun och privatpersoner,,,,,,,,1945-63 filmförevisning med partabel projektor,,,,,LS,
1360,BD,Överkalix,,Överkalix Folkets husförening,1941,Överkalix Folkets Hus,,FCO och arbetarekommun,,,,,1948,,,"dans, fester, bio, expeditionslokaler",,,,,LS,
1361,BD,Övertorneå,,,,Övertorneå Folkets Hus,,,,,,,1937,,,,,,,,,Rivet.
1362,BD,Övertorneå,,,,Kuivakangas Folkets Hus,,,,,,,1935-1936,,,,,,,,LS,kallades “Lilla Moskva”
1363,BD,Övertorneå,,,,Juoksengi Folkets Hus,,,,,,,1920-1930-talen,,,,,,,,,
1364,BD,Övertorneå,,Erkheikki Folkets husförening,1948,Erkheikki Folkets Hus,ekonomisk förening,,,,,,,,,,,,,"privat förvaring, kontakta folkrörelsearkivet i Västerbotten 1948-1971: protokoll, räkenskaper ARAB FH och FP samling: övriga landet vol. 5","LS, NAD",
1365,BD,Övertorneå,,,,Kaunisvaara Folkets Hus,,,,,,,1940-1950-talen,,,,,,,,,
1366,G,Uppvidinge,,"Byggnadsföreningen Folkets Hus upa, Hohultslätt",1939,Hasselbacken,,,,,,,1939,,,,,,"Englén, Sven: Tio framgångsrika teatersäsonger i Hasselbacken, 1958 Erlandsson, Anders: Hohultslätts Folkets Hus, 1962 Ström, Börje: Nu eller aldrig. Historien om en Folkpark och människorna som aldrig gav upp. Hasselbacken från 1930 och inför 2000-talet, 1996",,"ARAB: FPC parkinventering, parkregister 1966 DVII 1960-69",
1367,W,Ludvika,Grangärde,,,Grängesbergs Folkets Hus,,,,,,,1894,,,,,,Folkets Hus i Grängesberg [Artikel]  Julfacklan 1898 s. 20-21 ill.,,,
1368,S,Kristinehamn,Visnum,Björneborgs Folkets Hus & Park,1911,“Borgen”,ekonomisk förening,"fackförening, s-förening, enskilda",Charleville 3:30,Degerforsvägen 6,"Backman, Edgren, Johansson",,1973,inne i tätortsbebyggelse,kontinuerligt underhåll,"scen, biograf, kök, studielokal, danslokal, fritidsgård","mötesverksamhet, teater, bio, dans, konstutställningar, studiecirklar, mässor",Konsumaffär,se bilaga,"i lokalen: protokoll, räkenskaper, verksamhetsberättelser, ritningar, fotografier, affischer",FHP-enkät,se också 72 och 875
1369,O,Ulricehamn,,Kulturhuset Folkets Hus,1919,Kulturhuset Folkets Hus,ekonomisk förening,"fackförening, arbetarekommun, s-förening, SSU.klubb, ABF",Göken 31,Nygatan 24,M Kjällman,Johansson,1903,innei tätortsbebyggelse,Scenen byggdes om 1912 Huset totalrenoverades 1978-82,"scen, biograf, studielokal, föreningsexpedition","mötesverksamhet, föreningsexpedition, teater, bio, konstutställningar, studiecirklar",Annan förening Ulricehamns Teater o biografaktiebolag,se bilaga,,FHP-enkät,
1370,E,Valdemarsvik,Valdemarsvik,Valdemarsviks Folkets Park,,Grännäsparken,Valdemarsviks kommun,kommun,,,,,,utanför tätortsbebyggelse,,"friluftsscen, dansbana","teater, dans",,,i bankvalv; protokoll och räkenskaper,FHP-enkät,En tidigare Folkpark såldes till kommunen och revs
1371,F,Nässjö,Forserum,Forserums byggnadsförening Folkets Hus u p a,1906,Folkets Hus Forserum,ekonomisk förening,,,,,,,,,,,,,Privat förvaring kontakta Folkrörelsernas arkiv i Jönköping 1928-1968,NAD,
1372,D,Oxelösund,,Föreningen Folkets Hus i Oxelösund,1933,Folkets Hus i Oxelösund,,,,Malmgatan,"Alfred Weisenberg, Nyköping",BPA,1956,inne i tätortsbebyggelse,ombyggt på 1970-talet,"tidningsredaktion, konditori, banklokal, bibliotek, studielokaler, kök, bostad, ABF-expedition, mötes- och expeditionslokaler, bowlingbanor",drivs tillsammans med kommunen,,"Oxelösunds kommun: Boken om Oxelösund,  s. 140-150, Oxelösund 1977, Zetterström, Sven: Oxelösund i händelsernas centrum s. 120-128, Oxelösund 1996, Så minns vi Oxelösund - En vandring genom 1900-talets samhälle,  s. 51-53, Oxelösund 1999,  Karlsson, Sten;",I lokalen ?,FHP-enkät,Jfr nr 0478
1373,E,,,,,Folkets Hus i Degerön,,arbetarekommun,,,,,1919,,,,,,,ARAB FH och FP samling: övriga landet vol. 5,ARAB,
1374,D,Katrineholm,,Eriksbergs Folkets Hus Förening,1945,Eriksbergs Folkets Hus,,,,,,,,,,,,,,"Katrineholms arbetararkiv: Protokoll 1955-67, verksamhetsberättelser 1956-64","FHP-enkät, NAD",Verksamheten var först i Stora Malms kyrka. FH byggdes av bräder från baracker. Revs 1967. Föreningens verksamhet övergick till kommunen.
1375,S,Torsby,Vitsand,Vitsands idrottsförening,,Folkets Park,,,,c:a 2 km från Kristinefors Folkets Hus,,,,,,,,,,,FHP-enkät nr 341 Kristinefors FH,
1376,M,Bjuv,,Bjuvs arbetares byggnadsförening,1898,Folkets Hus i Bjuv,,,Medborgaren 1,Norra Storgatan 3,Hans Westman,,1952,tätort,Gamla Folkets Hus revs 1952,Musikestrad i parken på 70-talet. Dansbana,,,"Karin Winter: Hus för folket. En inventering av Folkets Hus och Folkets Park i Malmöhus län, Lund 1981 s.31",,Inventering Malmö,
1377,M,Eslöv,,Arbetarnas i Eslöv fastighetsbolag alt Eslövs Arbetares Byggnadsförening,F18o9lk8ets Hus u p a,Folkets Hus i Eslöv,,,Gösen 3,Pärlgatan 3,,,före 1898,tätort,"1898 ombyggt till möteslokal, dansbana, utescen. 1909 paviljong med sal och läktare. 1914 ekonomibyggnad och toaletter. 1923 täckt dansbana med orkesterpaviljong.",Bostadshus som byggdes om till möteslokaler. Dansbana. Folkets Park.,Kontor och laboratorium,,"Karin Winter: Hus för folket. En inventering av Folkets Hus och Folkets Park i Malmöhus län, Lund 1981 s. 33",NM inventering 1958 fotografi av vykort c:a 1900. Skånes arkivförbund och Arbetarrörelsens arkiv i Eslöv.,"inventering Malmö NM, FA och NAD Arbetet 30 dec 1935",Området helt förändrat och integrerat i industriområde
1378,M,Eslöv,,Föreningen Folkets Hus i Marieholm,,Folkets Hus i Marieholm,,,Sibbarp 2:16,Storgatan 63,,,1907,tätort,1918 sålt och ombyggt till bostäder. 1953 total ombyggnad,,Bostäder,,"Karin Winter: Hus för folket. En inventering av Folkets Hus och Folkets Park i Malmöhus län, Lund 1981 s. 33",,inventering Malmö,
1379,M,Eslöv,,Arbetarnas byggnadsförening,1927,Folkets Hus och Park i Marieholm,,,Åkarp 4:89,Västergatan 9,,,1927,,"FH kök, dansbana, FP skjutbana, fasta kiosker.",,1967 såld till kommunen.,,"Karin Winter: Hus för folket. En inventering av Folkets Hus och Folkets Park i Malmöhus län, Lund 1981 s. 34",,inventering Malmö,
1380,M,Eslöv,,Örtofta Folkets Hus andelsförening,1920,Folkets Hus i Örtofta,,,Örtofta 15:11,Löddeåvägen 46,,,,,Byggnaden inköpt 1920. 1934 byggdes dansbana.,"Hus, tomt, dansbana",Huset såldes till Harrie kommun på 1940-talet. Omklädningsrum för närliggande idrottsplats.,,"Karin Winter: Hus för folket. En inventering av Folkets Hus och Folkets Park i Malmöhus län, Lund 1981 s. 34",,inventering Malmö,
1381,M,Helsingborg,,Folketshusföreningen,1897 (1907 NM),Folkets Hus i Påarp,,Logen Skånes Vapen  m fl,Påarp 1:44,Godtemplargatan 4,,,1897,,1950 byggdes huset till och 1959 nytt kök. 1974 gult fasadtegel.,,,Ordenshus för logen Skånes Vapen,"Karin Winter: Hus för folket. En inventering av Folkets Hus och Folkets Park i Malmöhus län, Lund 1981 s. 36",NM inventering 1958 fotografier,"inventering Malmö, NM",
1382,M,Helsingborg,,,,Folkets Hus i Helsingborg,,,Bollbro 15,Gasverksgatan 15-17,,,1971,tätort,,"Kontorshus, parkeringshus. Mötesverksamhet, fackföreningsexpeditioner.",,,"Karin Winter: Hus för folket. En inventering av Folkets Hus och Folkets Park i Malmöhus län, Lund 1981 s. 36 Fredriksson, Jan: Folkets Hus - arbetarborgen, 1996",,inventering Malmö,
1383,M,Höganäs,,Folkets Hus och Park i Höganäs,1908,Folkets Hus i Höganäs,,,,Långarödsvägen 16,Per Olof Selestad,,1965,FP,,,,,"Karin Winter: Hus för folket. En inventering av Folkets Hus och Folkets Park i Malmöhus län, Lund 1981 s. 36-37",,inventering Malmö,tidigare FH fanns på samma plats men revs 1965 se nr 280
1384,M,Kävlinge,,Andelsföreningen Folkets Hus,1923,Folkets Hus i Dösjebro,,,Dösjebro 2:81 m fl,Annelövsvägen 1,,,1925,,,,1971 övertog Kävlinge kommun huset,,"Karin Winter: Hus för folket. En inventering av Folkets Hus och Folkets Park i Malmöhus län, Lund 1981 s. 38",Kävlinge kommuns centralarkiv 1920-1969,"inventering Malmö, NAD",1919 anlades en dansbana i Bergens Park av intressenter från Annelöv och Västra Karaby. Avsikten var att finansiera ett Folkets Hus. För att sköta parken bildades föreningen Evighet som 1925 ombildades till FH förening.
1385,M,Kävlinge,,Arbetarnas fastighetsförening i Kjeflinge,,Folkets Hus i Kävlinge,,,Arbetet 16,Nygatan 6,,,1900,,Huset byggdes av föreningens medlemmar.,"Trädgård. 1907 scen,  bostad, affärslokal och bibliotek, biograf",,,"Karin Winter: Hus för folket. En inventering av Folkets Hus och Folkets Park i Malmöhus län, Lund 1981 s. 38-39",NM inventering 1958 fotografi Kävlinge kommuns centralarkiv,"inventering Malmö, NM, NAD","1925 gick föreningen i likvidation, 1945 tog Solidar över"
1386,M,Kävlinge,,Andelsföreningen Folkets Hus i Löddeköpinge,,Folkets Hus i Löddeköpinge,,,Löddeköpinge 12:3,Parkvägen 10,,,1927,,,"dansbana, servering",,,"Karin Winter: Hus för folket. En inventering av Folkets Hus och Folkets Park i Malmöhus län, Lund 1981 s. 39",,inventering Malmö,1960 tog kommunen över.
1387,M,Landskrona,,Häljarpsklubbens byggnadsförening,,Folkets Hus i Häljarp,,,Saxtorp 15:25,Bokvägen 14,,,1936,utanför tötort,,,,,"Karin Winter: Hus för folket. En inventering av Folkets Hus och Folkets Park i Malmöhus län, Lund 1981 s. 40",,inventering Malmö,Huset ägs nu av kommunen
1388,M,Lund,,Folkets Hus i Lund,1900,Folkets Hus i Lund,,kommunen,Maria Magle 11,Kiliansgatan 15,,,1972,tätort,,Teater m m,Stadsteater,,"Karin Winter: Hus för folket. En inventering av Folkets Hus och Folkets Park i Malmöhus län, Lund 1981 s. 42-43 Keidser, Harry: Folkets Hus, Lund 1903-1993",Arbetarrörelsens arkiv i Lundabygden 110 vol 1887-1987,inventering Malmö,
1389,M,Malmö,,,1906,Folkets Hus i Kvarnby,,fackföreningsavdelning och folketshusförening,ödra Sallerup Stadsäga 225,Klågerupsvägen 430,,,,,Ombyggdes till FH 1906. Dansbana 1906,,,,"Karin Winter: Hus för folket. En inventering av Folkets Hus och Folkets Park i Malmöhus län, Lund 1981 s. 43",ARAB: Folkets Hus och Parker; övriga landet vol. 7 fragment [samling],inventering Malmö,Huset inköptes 1906 och gjordes om till FH. Såldes på 60-talet till brottarklubben
1390,M,Malmö,,Byggnadsföreningen Folkets Hus i Klagshamn,1906,Folkets Hus i Klagshamn,,,Klagstorp 16:44,Borrebackevägen 217,,,1906,,1907 byggdes stora salen med scen och läktare.,"Mötesverksamhet. Dans, skjutbana",Mötesverksamhet,,"Karin Winter: Hus för folket. En inventering av Folkets Hus och Folkets Park i Malmöhus län, Lund 1981 s. 44","Stadarkivet i Malmö 0, 1 hm  1906-1968 ARAB: [samling] Organisationsklipp vol. 11","inventering Malmö, NAD, Arbetet 4 febr 1937",1968 övertog kommunen huset
1391,M,Malmö,,,,Folkets Hus i Käglinge,,,Käglinge 12:24,,,,,,,,Privatbostad,FH,"Karin Winter: Hus för folket. En inventering av Folkets Hus och Folkets Park i Malmöhus län, Lund 1981 s. 44",,inventering Malmö,
1392,M,Malmö,,Limhamns arbetarebyggnadsförening,1898,Folkets Hus i Limhamn,,,Vattnet 2,Birger Jarlsgatan 46,,,1920,,1920 karusell 1924 stadsbiblioteksfilial,"samlingslokaler, expeditioner, ölhall",,,"Karin Winter: Hus för folket. En inventering av Folkets Hus och Folkets Park i Malmöhus län, Lund 1981 s. 44 3 Limhamns Folkets Hus och 1 Park / Bert Åkesson","Arbetarrörelsens arkiv i Malmö 2, 5 hm 1898-1971 ARAB [samling]: Organisationsklipp vol. 12","inventering Malmö, AAM, Arbetet 5 dec 1936, 25 okt 1946 och 28 okt 1955",
1393,M,Svalöv,,,,Folkets Hus i Kågeröd,arbetarekommunen,,Kågeröd 5:19,Möllarpsvägen 15,,,1924,,,,,ordenshus,"Karin Winter: Hus för folket. En inventering av Folkets Hus och Folkets Park i Malmöhus län, Lund 1981 s. 48",,inventering Malmö,
1394,M,Svalöv,,Stenestads Folkets Hus-förening u p a,,Folkets Hus i Stenestad,stiftelse,,,,,,1928,utanför tätort,,,,,"Karin Winter: Hus för folket. En inventering av Folkets Hus och Folkets Park i Malmöhus län, Lund 1981 s. 49","ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment","inventering Malmö, ARAB",Föreningen inregistrerades 1935
1394,M,Svalöv,,Tågarpsortens byggnadsförening,,Folkets Hus i Streköpinge,,lantarbetarefackföreningen,Norraby 1:10,,,,1919,,1920 täcktes dansbanan in och döptes om till FH,"dansbana 1919, servering",privat,,"Karin Winter: Hus för folket. En inventering av Folkets Hus och Folkets Park i Malmöhus län, Lund 1981 s. 48",,inventering Malmö,
1396,M,Svedala,,,,Folkets Hus i Vismarlöv/Beden,,fackföreningar,5:17,Vismarlöv 5,,,1917,,,,privatbostad,,"Karin Winter: Hus för folket. En inventering av Folkets Hus och Folkets Park i Malmöhus län, Lund 1981 s. 51",,inventering Malmö,såldes på 30-talet till privatperson
1397,M,Trelleborg,,,1906,Folkets Hus i Minnesberg,,fackföreningen på tegelbruket,1:37,,,,,,,,,smedja,"Karin Winter: Hus för folket. En inventering av Folkets Hus och Folkets Park i Malmöhus län, Lund 1981 s. 52",,inventering Malmö,Fastigheten inköptes 1906
1398,M,Vellinge,,,,Folkets Hus i Hököpinge,,,55:13,Hököpinge 55,,,1906,,Ombyggt 1960-tal till privatbostad och mekanisk verkstad,,,,,Arbetarrörelsens arkiv i Trelleborg 1905-1974 ARAB: Organisationsklipp vol. 15 [samling],"FA, NAD, Arbetet 27 april 1955",
1399,M,Vellinge,,Folkets husföreningen,,Folkets Hus i Östra Grevie,,,1:7,Lindvägen,,,1898,,,,,järnvägshotell,"Karin Winter: Hus för folket. En inventering av Folkets Hus och Folkets Park i Malmöhus län, Lund 1981 s. 53",,inventering Malmö,Huset köptes av Folkets husföreningen 1939
